14:13:23.377 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/rockedintorni/elvetunderground.htm: null
14:13:33.013 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/rockedintorni/leafblade.htm: null
14:13:34.290 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/italia/fabiozuffanti.htm: null
14:14:03.649 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2008_lenfancerouge.htm: null
14:14:03.937 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2009_vitalic.htm: null
14:14:10.252 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_deathofannakarina.htm: null
14:14:15.318 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_magnusmoriarty.htm: null
14:14:26.659 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2008_bellowhead.htm: null
14:14:27.908 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_vampireweekend.htm: null
14:14:29.635 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/locandadellefate_forselelucciole.htm: null
14:14:39.129 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2008_rohmer.htm: null
14:14:45.135 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_planb_illmanors.htm: null
14:14:47.185 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_everythingeverything.htm: null
14:14:55.090 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2009_mirthkon.htm: null
14:14:55.572 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_luup.htm: null
14:14:55.774 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2008_why.htm: null
14:14:56.860 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_miceparade.htm: null
14:15:09.844 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2009_hyperdub.htm: null
14:15:12.454 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2009_birdsongs.htm: null
14:15:23.587 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_bubblegumlemonade_somelikeitpop.htm: null
14:15:34.992 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2009_doveman.htm: null
14:15:35.274 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_chantalacda_letyourhands.htm: null
14:15:46.987 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_fuzzylights.htm: null
14:15:54.953 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_robinbacior_waterdreams.htm: null
14:15:58.224 INFO  org.phonoteke.AbstractCrawler - Document http://www.ondarock.it/recensioni/2016_hexvessel_whenwearedeath.htm added into DOCUMENT
14:16:12.006 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_iamoak_nowhere.htm: null
14:16:16.693 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_tenhi.htm: null
14:16:21.893 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_idaho.htm: null
14:16:22.079 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_timbertimbre.htm: null
14:16:32.544 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_annajarvinen.htm: null
